性別,年齡,職業,個性,外在形象,興趣,購買偏好,情感效果,價值,希望收到的禮物
女,19-30歲,學生,務實,乾淨簡約,手工/DIY,文具,實用性高,301-500元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,理性,乾淨簡約,閱讀,動漫周邊,實用性高,301-500元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,體貼,休閒,影音（電影、電視劇）,美食,實用性高,100-300元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,文靜,乾淨簡約,動漫,衣物,展現貼心與細膩,301-500元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,內向,韓系,追星,明星周邊,展現貼心與細膩,1001-2000元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,體貼,乾淨簡約,影音（電影、電視劇）,美妝保養,展現貼心與細膩,501-1000元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,體貼,日系,烹飪/烘焙,美食,展現貼心與細膩,301-500元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,感性,韓系,美食,衣物,浪漫的,301-500元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,樂觀,活潑可愛,手工/DIY,衣物,創意新奇,100-300元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,務實,乾淨簡約,影音（電影、電視劇）,衣物,療癒的,501-1000元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,理性,休閒,追星,文創商品,實用性高,301-500元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,感性,乾淨簡約,影音（電影、電視劇）,衣物,展現貼心與細膩,301-500元,文具/文創商品/藝文活動票卷/書籍
男,19-30歲,學生,內向,乾淨簡約,美食,美食,展現貼心與細膩,501-1000元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,內向,運動風,美食,飾品配件,驚喜,100-300元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,幽默,韓系,美食,衣物,創意新奇,501-1000元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,體貼,日系,音樂,美食,實用性高,100-300元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,理性,乾淨簡約,音樂,衣物,展現貼心與細膩,100-300元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,體貼,休閒,影音（電影、電視劇）,衣物,實用性高,501-1000元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,感性,休閒,動漫,美食,展現貼心與細膩,100-300元,文具/文創商品/藝文活動票卷/書籍
男,19-30歲,餐飲與旅遊,熱情,街頭嘻哈,閱讀,衣物,創意新奇,501-1000元,文具/文創商品/藝文活動票卷/書籍
男,19-30歲,醫療與健康,內向,乾淨簡約,電子遊戲,文創商品,實用性高,301-500元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,內向,休閒,動漫,文創商品,展現貼心與細膩,100-300元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,感性,乾淨簡約,影音（電影、電視劇）,衣物,展現貼心與細膩,301-500元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,幽默,休閒,電子遊戲,電玩/遊戲,驚喜,301-500元,文具/文創商品/藝文活動票卷/書籍
男,31-40歲,學生,理性,乾淨簡約,電子遊戲,電玩/遊戲,驚喜,301-500元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,理性,活潑可愛,手工/DIY,美食,驚喜,301-500元,文具/文創商品/藝文活動票卷/書籍
男,19-30歲,學生,內向,休閒,運動/健身,衣物,實用性高,100-300元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,內向,日系,音樂,衣物,療癒的,301-500元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,活潑,休閒,音樂,藝文活動票卷(電影/展覽/音樂會/演唱會等),展現貼心與細膩,301-500元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,感性,活潑可愛,美食,衣物,展現貼心與細膩,301-500元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,理性,活潑可愛,動漫,動漫周邊,實用性高,100-300元,電玩/遊戲/玩具/明星周邊/動漫周邊
女,18歲以下,學生,感性,乾淨簡約,影音（電影、電視劇）,明星周邊,浪漫的,301-500元,電玩/遊戲/玩具/明星周邊/動漫周邊
女,19-30歲,學生,務實,運動風,追星,明星周邊,展現貼心與細膩,301-500元,電玩/遊戲/玩具/明星周邊/動漫周邊
女,19-30歲,學生,內向,乾淨簡約,旅行,美食,實用性高,100-300元,電玩/遊戲/玩具/明星周邊/動漫周邊
女,19-30歲,學生,文靜,活潑可愛,追星,文具,實用性高,100-300元,電玩/遊戲/玩具/明星周邊/動漫周邊
女,19-30歲,學生,內向,運動風,追星,明星周邊,驚喜,501-1000元,電玩/遊戲/玩具/明星周邊/動漫周邊
女,19-30歲,學生,理性,Y2K,動漫,衣物,驚喜,301-500元,電玩/遊戲/玩具/明星周邊/動漫周邊
女,19-30歲,學生,外向,運動風,動漫,衣物,實用性高,100-300元,電玩/遊戲/玩具/明星周邊/動漫周邊
女,19-30歲,學生,感性,休閒,影音（電影、電視劇）,家居用品,浪漫的,501-1000元,電玩/遊戲/玩具/明星周邊/動漫周邊
男,19-30歲,學生,幽默,休閒,影音（電影、電視劇）,3C配件,展現貼心與細膩,100-300元,電玩/遊戲/玩具/明星周邊/動漫周邊
女,18歲以下,學生,內向,知性文青,電子遊戲,衣物,創意新奇,100-300元,電玩/遊戲/玩具/明星周邊/動漫周邊
女,19-30歲,學生,內向,乾淨簡約,美食,美妝保養,實用性高,501-1000元,電玩/遊戲/玩具/明星周邊/動漫周邊
女,19-30歲,金融與保險,內向,乾淨簡約,追星,衣物,展現貼心與細膩,501-1000元,電玩/遊戲/玩具/明星周邊/動漫周邊
女,19-30歲,學生,內向,休閒,電子遊戲,動漫周邊,展現貼心與細膩,100-300元,電玩/遊戲/玩具/明星周邊/動漫周邊
女,18歲以下,學生,內向,街頭嘻哈,音樂,衣物,驚喜,301-500元,電玩/遊戲/玩具/明星周邊/動漫周邊
女,19-30歲,學生,內向,休閒,追星,衣物,創意新奇,100-300元,電玩/遊戲/玩具/明星周邊/動漫周邊
女,19-30歲,學生,熱情,學院風,音樂,明星周邊,展現貼心與細膩,301-500元,電玩/遊戲/玩具/明星周邊/動漫周邊
女,18歲以下,學生,樂觀,復古風,手工/DIY,文具,實用性高,501-1000元,電玩/遊戲/玩具/明星周邊/動漫周邊
女,19-30歲,學生,內向,休閒,動漫,動漫周邊,驚喜,100-300元,電玩/遊戲/玩具/明星周邊/動漫周邊
女,19-30歲,學生,感性,乾淨簡約,影音（電影、電視劇）,美食,療癒的,100-300元,電玩/遊戲/玩具/明星周邊/動漫周邊
女,19-30歲,學生,感性,乾淨簡約,追星,明星周邊,展現貼心與細膩,100-300元,電玩/遊戲/玩具/明星周邊/動漫周邊
女,19-30歲,學生,體貼,休閒,手工/DIY,文創商品,展現貼心與細膩,301-500元,電玩/遊戲/玩具/明星周邊/動漫周邊
女,19-30歲,學生,理性,休閒,旅行,動漫周邊,驚喜,501-1000元,服飾/飾品配件/美妝保養
女,19-30歲,學生,樂觀,休閒,美食,衣物,展現貼心與細膩,301-500元,服飾/飾品配件/美妝保養
女,19-30歲,學生,內向,乾淨簡約,美食,飾品配件,實用性高,1001-2000元,服飾/飾品配件/美妝保養
女,18歲以下,學生,幽默,街頭嘻哈,追星,衣物,創意新奇,301-500元,服飾/飾品配件/美妝保養
女,19-30歲,學生,活潑,活潑可愛,追星,衣物,展現貼心與細膩,100-300元,服飾/飾品配件/美妝保養
男,19-30歲,學生,內向,知性文青,音樂,衣物,展現貼心與細膩,501-1000元,服飾/飾品配件/美妝保養
女,19-30歲,學生,務實,休閒,動漫,衣物,實用性高,501-1000元,服飾/飾品配件/美妝保養
女,19-30歲,學生,感性,韓系,影音（電影、電視劇）,衣物,實用性高,501-1000元,服飾/飾品配件/美妝保養
女,19-30歲,學生,內向,休閒,音樂,明星周邊,創意新奇,501-1000元,服飾/飾品配件/美妝保養
女,19-30歲,學生,內向,乾淨簡約,閱讀,衣物,展現貼心與細膩,501-1000元,服飾/飾品配件/美妝保養
女,18歲以下,學生,務實,乾淨簡約,閱讀,美食,展現貼心與細膩,301-500元,服飾/飾品配件/美妝保養
男,19-30歲,學生,務實,休閒,旅行,家電,驚喜,100-300元,服飾/飾品配件/美妝保養
女,19-30歲,學生,活潑,知性文青,美食,美妝保養,展現貼心與細膩,501-1000元,服飾/飾品配件/美妝保養
女,19-30歲,學生,理性,韓系,追星,衣物,實用性高,2001-5000元,服飾/飾品配件/美妝保養
女,19-30歲,學生,樂觀,韓系,閱讀,家居用品,實用性高,501-1000元,服飾/飾品配件/美妝保養
女,19-30歲,學生,幽默,韓系,追星,美妝保養,實用性高,301-500元,服飾/飾品配件/美妝保養
女,18歲以下,學生,樂觀,乾淨簡約,電子遊戲,衣物,實用性高,301-500元,服飾/飾品配件/美妝保養
女,19-30歲,學生,務實,乾淨簡約,電子遊戲,飾品配件,展現貼心與細膩,100-300元,服飾/飾品配件/美妝保養
男,19-30歲,學生,內向,休閒,運動/健身,電玩/遊戲,實用性高,100元以下,服飾/飾品配件/美妝保養
女,19-30歲,學生,活潑,復古風,影音（電影、電視劇）,衣物,驚喜,301-500元,服飾/飾品配件/美妝保養
女,19-30歲,學生,內向,乾淨簡約,追星,衣物,實用性高,301-500元,服飾/飾品配件/美妝保養
女,19-30歲,學生,感性,復古風,動漫,3C配件,實用性高,100-300元,服飾/飾品配件/美妝保養
女,19-30歲,學生,文靜,乾淨簡約,旅行,衣物,驚喜,100-300元,服飾/飾品配件/美妝保養
女,19-30歲,學生,內向,學院風,旅行,衣物,創意新奇,501-1000元,服飾/飾品配件/美妝保養
女,19-30歲,學生,理性,乾淨簡約,閱讀,衣物,實用性高,501-1000元,服飾/飾品配件/美妝保養
女,19-30歲,學生,活潑,乾淨簡約,閱讀,衣物,展現貼心與細膩,100-300元,服飾/飾品配件/美妝保養
女,19-30歲,學生,樂觀,休閒,美食,衣物,展現貼心與細膩,301-500元,服飾/飾品配件/美妝保養
男,19-30歲,學生,外向,知性文青,影音（電影、電視劇）,衣物,展現貼心與細膩,301-500元,服飾/飾品配件/美妝保養
女,19-30歲,學生,內向,乾淨簡約,烹飪/烘焙,美食,浪漫的,301-500元,服飾/飾品配件/美妝保養
女,19-30歲,學生,務實,Y2K,音樂,美妝保養,實用性高,301-500元,服飾/飾品配件/美妝保養
女,19-30歲,學生,感性,休閒,電子遊戲,3C配件,展現貼心與細膩,501-1000元,服飾/飾品配件/美妝保養
女,19-30歲,學生,務實,乾淨簡約,追星,衣物,實用性高,301-500元,服飾/飾品配件/美妝保養
女,19-30歲,學生,文靜,乾淨簡約,影音（電影、電視劇）,美妝保養,展現貼心與細膩,301-500元,服飾/飾品配件/美妝保養
女,19-30歲,學生,文靜,乾淨簡約,追星,衣物,驚喜,10000元以上,服飾/飾品配件/美妝保養
女,19-30歲,學生,感性,性感,追星,明星周邊,實用性高,501-1000元,服飾/飾品配件/美妝保養
女,19-30歲,學生,幽默,休閒,動漫,美妝保養,展現貼心與細膩,501-1000元,服飾/飾品配件/美妝保養
男,19-30歲,學生,務實,韓系,影音（電影、電視劇）,美妝保養,實用性高,501-1000元,服飾/飾品配件/美妝保養
女,19-30歲,學生,感性,休閒,追星,衣物,展現貼心與細膩,301-500元,服飾/飾品配件/美妝保養
女,19-30歲,學生,內向,休閒,美食,衣物,療癒的,301-500元,服飾/飾品配件/美妝保養
女,19-30歲,學生,樂觀,乾淨簡約,音樂,衣物,展現貼心與細膩,301-500元,服飾/飾品配件/美妝保養
女,19-30歲,學生,熱情,日系,追星,飾品配件,驚喜,301-500元,服飾/飾品配件/美妝保養
男,19-30歲,學生,外向,運動風,烹飪/烘焙,美食,展現貼心與細膩,501-1000元,服飾/飾品配件/美妝保養
女,19-30歲,學生,感性,乾淨簡約,影音（電影、電視劇）,美妝保養,展現貼心與細膩,301-500元,服飾/飾品配件/美妝保養
女,19-30歲,學生,感性,活潑可愛,手工/DIY,美食,驚喜,501-1000元,服飾/飾品配件/美妝保養
女,19-30歲,學生,內向,乾淨簡約,追星,美妝保養,療癒的,100-300元,服飾/飾品配件/美妝保養
女,19-30歲,學生,幽默,乾淨簡約,旅行,美妝保養,展現貼心與細膩,501-1000元,服飾/飾品配件/美妝保養
男,19-30歲,學生,幽默,休閒,旅行,美食,創意新奇,100-300元,服飾/飾品配件/美妝保養
男,19-30歲,學生,文靜,日系,運動/健身,衣物,展現貼心與細膩,501-1000元,服飾/飾品配件/美妝保養
女,19-30歲,學生,內向,乾淨簡約,電子遊戲,衣物,實用性高,301-500元,服飾/飾品配件/美妝保養
男,19-30歲,學生,內向,運動風,運動/健身,家居用品,展現貼心與細膩,301-500元,服飾/飾品配件/美妝保養
女,19-30歲,學生,理性,乾淨簡約,追星,衣物,展現貼心與細膩,301-500元,服飾/飾品配件/美妝保養
女,19-30歲,學生,內向,休閒,烹飪/烘焙,衣物,療癒的,100-300元,服飾/飾品配件/美妝保養
女,19-30歲,醫療與健康,內向,乾淨簡約,美食,美妝保養,展現貼心與細膩,301-500元,服飾/飾品配件/美妝保養
女,19-30歲,學生,樂觀,休閒,影音（電影、電視劇）,衣物,實用性高,301-500元,服飾/飾品配件/美妝保養
女,19-30歲,學生,理性,乾淨簡約,影音（電影、電視劇）,衣物,創意新奇,301-500元,服飾/飾品配件/美妝保養
女,19-30歲,學生,活潑,休閒,旅行,衣物,展現貼心與細膩,501-1000元,服飾/飾品配件/美妝保養
女,19-30歲,學生,理性,乾淨簡約,音樂,美食,實用性高,301-500元,服飾/飾品配件/美妝保養
女,19-30歲,學生,務實,乾淨簡約,手工/DIY,衣物,展現貼心與細膩,100-300元,服飾/飾品配件/美妝保養
女,19-30歲,餐飲與旅遊,活潑,休閒,影音（電影、電視劇）,包包,展現貼心與細膩,501-1000元,服飾/飾品配件/美妝保養
女,19-30歲,學生,體貼,乾淨簡約,美食,衣物,創意新奇,301-500元,服飾/飾品配件/美妝保養
女,19-30歲,學生,內向,韓系,追星,美妝保養,浪漫的,301-500元,服飾/飾品配件/美妝保養
女,19-30歲,學生,感性,乾淨簡約,音樂,衣物,展現貼心與細膩,100-300元,服飾/飾品配件/美妝保養
女,19-30歲,學生,活潑,知性文青,閱讀,衣物,實用性高,100-300元,服飾/飾品配件/美妝保養
女,19-30歲,學生,感性,活潑可愛,手工/DIY,飾品配件,展現貼心與細膩,501-1000元,服飾/飾品配件/美妝保養
男,19-30歲,製造與建築,文靜,休閒,閱讀,衣物,實用性高,301-500元,服飾/飾品配件/美妝保養
男,31-40歲,商業與管理,理性,休閒,閱讀,書籍,創意新奇,501-1000元,服飾/飾品配件/美妝保養
女,19-30歲,學生,務實,日系,美食,藝文活動票卷(電影/展覽/音樂會/演唱會等),創意新奇,301-500元,服飾/飾品配件/美妝保養
女,19-30歲,學生,文靜,復古風,閱讀,衣物,驚喜,301-500元,服飾/飾品配件/美妝保養
男,19-30歲,學生,嚴肅,知性文青,電子遊戲,衣物,展現貼心與細膩,10000元以上,服飾/飾品配件/美妝保養
女,19-30歲,醫療與健康,樂觀,乾淨簡約,音樂,衣物,驚喜,301-500元,服飾/飾品配件/美妝保養
女,19-30歲,學生,內向,活潑可愛,追星,衣物,療癒的,501-1000元,服飾/飾品配件/美妝保養
女,19-30歲,學生,體貼,乾淨簡約,動漫,衣物,創意新奇,301-500元,服飾/飾品配件/美妝保養
女,19-30歲,學生,幽默,休閒,音樂,衣物,展現貼心與細膩,501-1000元,服飾/飾品配件/美妝保養
女,19-30歲,學生,樂觀,休閒,美食,衣物,浪漫的,301-500元,服飾/飾品配件/美妝保養
女,19-30歲,學生,外向,活潑可愛,旅行,3C配件,創意新奇,100-300元,服飾/飾品配件/美妝保養
