性別,年齡,職業,個性,外在形象,興趣,購買偏好,情感效果,價值,希望收到的禮物
男,19-30歲,學生,幽默,運動風,運動/健身,衣物,驚喜,10000元以上,服飾/飾品配件/美妝保養
女,41-50歲,商業與管理,體貼,休閒,旅行,衣物,實用性高,1001-2000元,服飾/飾品配件/美妝保養
男,19-30歲,學生,務實,乾淨簡約,閱讀,美食,驚喜,301-500元,服飾/飾品配件/美妝保養
女,18歲以下,學生,樂觀,乾淨簡約,閱讀,飾品配件,展現貼心與細膩,301-500元,服飾/飾品配件/美妝保養
女,19-30歲,學生,樂觀,韓系,音樂,衣物,驚喜,100-300元,服飾/飾品配件/美妝保養
女,19-30歲,學生,內向,乾淨簡約,閱讀,美食,實用性高,100元以下,服飾/飾品配件/美妝保養
女,19-30歲,學生,理性,乾淨簡約,追星,衣物,展現貼心與細膩,100-300元,服飾/飾品配件/美妝保養
男,19-30歲,學生,外向,休閒,閱讀,衣物,療癒的,10000元以上,服飾/飾品配件/美妝保養
男,18歲以下,學生,內向,運動風,運動/健身,衣物,實用性高,301-500元,服飾/飾品配件/美妝保養
女,19-30歲,學生,幽默,休閒,旅行,衣物,實用性高,301-500元,服飾/飾品配件/美妝保養
男,31-40歲,科技與工程,活潑,休閒,旅行,衣物,展現貼心與細膩,501-1000元,服飾/飾品配件/美妝保養
女,18歲以下,學生,幽默,休閒,旅行,衣物,創意新奇,301-500元,服飾/飾品配件/美妝保養
女,19-30歲,學生,內向,優雅知性,手工/DIY,衣物,展現貼心與細膩,301-500元,服飾/飾品配件/美妝保養
男,19-30歲,學生,務實,乾淨簡約,旅行,衣物,展現貼心與細膩,1001-2000元,服飾/飾品配件/美妝保養
男,19-30歲,科技與工程,內向,休閒,影音（電影、電視劇）,明星周邊,實用性高,501-1000元,服飾/飾品配件/美妝保養
男,19-30歲,學生,外向,運動風,運動/健身,電玩/遊戲,創意新奇,10000元以上,服飾/飾品配件/美妝保養
男,31-40歲,學生,幽默,乾淨簡約,手工/DIY,玩具,展現貼心與細膩,301-500元,電玩/遊戲/玩具/明星周邊/動漫周邊
女,19-30歲,學生,理性,乾淨簡約,音樂,衣物,創意新奇,501-1000元,電玩/遊戲/玩具/明星周邊/動漫周邊
女,19-30歲,學生,內向,休閒,旅行,衣物,浪漫的,501-1000元,電玩/遊戲/玩具/明星周邊/動漫周邊
女,19-30歲,學生,感性,休閒,手工/DIY,衣物,療癒的,501-1000元,電玩/遊戲/玩具/明星周邊/動漫周邊
女,19-30歲,教育,內向,休閒,旅行,玩具,創意新奇,100-300元,電玩/遊戲/玩具/明星周邊/動漫周邊
女,19-30歲,學生,務實,乾淨簡約,手工/DIY,玩具,驚喜,100-300元,電玩/遊戲/玩具/明星周邊/動漫周邊
女,19-30歲,學生,內向,休閒,動漫,電玩/遊戲,展現貼心與細膩,301-500元,美食
女,19-30歲,學生,理性,乾淨簡約,旅行,美食,驚喜,1001-2000元,美食
男,19-30歲,學生,幽默,乾淨簡約,美食,美食,創意新奇,100-300元,美食
女,19-30歲,製造與建築,內向,休閒,影音（電影、電視劇）,美食,實用性高,501-1000元,美食
男,19-30歲,學生,內向,乾淨簡約,美食,美食,實用性高,1001-2000元,美食
女,19-30歲,學生,感性,乾淨簡約,旅行,書籍,驚喜,100-300元,美食
女,19-30歲,學生,務實,乾淨簡約,動漫,書籍,療癒的,301-500元,美食
女,19-30歲,學生,理性,休閒,美食,衣物,展現貼心與細膩,301-500元,美食
女,19-30歲,學生,活潑,休閒,追星,衣物,驚喜,100元以下,美食
女,19-30歲,學生,內向,日系,動漫,運動器材,創意新奇,301-500元,美食
男,19-30歲,學生,熱情,休閒,旅行,書籍,驚喜,100-300元,美食
女,19-30歲,學生,樂觀,休閒,電子遊戲,電玩/遊戲,展現貼心與細膩,100-300元,美食
女,19-30歲,學生,理性,乾淨簡約,閱讀,衣物,實用性高,501-1000元,美食
女,19-30歲,學生,務實,優雅知性,影音（電影、電視劇）,美食,實用性高,100-300元,美食
女,19-30歲,學生,內向,知性文青,閱讀,衣物,展現貼心與細膩,100元以下,美食
女,31-40歲,教育,務實,活潑可愛,美食,美食,驚喜,501-1000元,美食
女,31-40歲,媒體與娛樂,感性,休閒,美食,美食,療癒的,301-500元,美食
女,51-64歲,教育,內向,休閒,影音（電影、電視劇）,美食,實用性高,100-300元,美食
女,19-30歲,學生,務實,休閒,音樂,藝文活動票卷(電影/展覽/音樂會/演唱會等),實用性高,100-300元,美食
女,31-40歲,教育,理性,乾淨簡約,影音（電影、電視劇）,美食,實用性高,501-1000元,美食
男,19-30歲,學生,內向,休閒,運動/健身,美食,實用性高,100元以下,美食
女,41-50歲,商業與管理,務實,乾淨簡約,影音（電影、電視劇）,美食,展現貼心與細膩,501-1000元,美食
男,19-30歲,媒體與娛樂,務實,乾淨簡約,影音（電影、電視劇）,美食,實用性高,2001-5000元,美食
女,41-50歲,商業與管理,嚴肅,乾淨簡約,影音（電影、電視劇）,文具,實用性高,100-300元,美食
男,31-40歲,製造與建築,務實,乾淨簡約,美食,衣物,展現貼心與細膩,1001-2000元,美食
男,19-30歲,學生,務實,休閒,閱讀,美食,實用性高,301-500元,美食
女,19-30歲,學生,務實,乾淨簡約,手工/DIY,衣物,實用性高,501-1000元,家電/3C配件/家居用品/運動器材
男,19-30歲,學生,內向,休閒,電子遊戲,衣物,實用性高,301-500元,家電/3C配件/家居用品/運動器材
女,19-30歲,學生,樂觀,運動風,動漫,鞋子,實用性高,301-500元,家電/3C配件/家居用品/運動器材
女,19-30歲,學生,體貼,活潑可愛,美食,衣物,實用性高,501-1000元,家電/3C配件/家居用品/運動器材
男,19-30歲,學生,內向,乾淨簡約,旅行,衣物,實用性高,1001-2000元,家電/3C配件/家居用品/運動器材
男,19-30歲,學生,內向,休閒,影音（電影、電視劇）,3C配件,實用性高,1001-2000元,家電/3C配件/家居用品/運動器材
男,19-30歲,學生,內向,休閒,動漫,美食,實用性高,10000元以上,家電/3C配件/家居用品/運動器材
女,19-30歲,學生,務實,休閒,閱讀,書籍,療癒的,501-1000元,家電/3C配件/家居用品/運動器材
女,19-30歲,學生,內向,乾淨簡約,閱讀,衣物,實用性高,301-500元,家電/3C配件/家居用品/運動器材
女,31-40歲,醫療與健康,文靜,優雅知性,美食,美食,實用性高,1001-2000元,家電/3C配件/家居用品/運動器材
男,18歲以下,學生,內向,休閒,美食,美食,實用性高,301-500元,家電/3C配件/家居用品/運動器材
男,18歲以下,學生,外向,知性文青,電子遊戲,美食,實用性高,301-500元,家電/3C配件/家居用品/運動器材
男,19-30歲,學生,熱情,乾淨簡約,美食,美食,實用性高,301-500元,家電/3C配件/家居用品/運動器材
男,31-40歲,學生,內向,知性文青,影音（電影、電視劇）,鞋子,實用性高,501-1000元,家電/3C配件/家居用品/運動器材
男,19-30歲,學生,務實,商務風,電子遊戲,3C配件,實用性高,501-1000元,家電/3C配件/家居用品/運動器材
男,19-30歲,學生,理性,休閒,烹飪/烘焙,美食,創意新奇,301-500元,家電/3C配件/家居用品/運動器材
男,19-30歲,學生,幽默,乾淨簡約,影音（電影、電視劇）,衣物,驚喜,1001-2000元,家電/3C配件/家居用品/運動器材
男,19-30歲,學生,感性,休閒,影音（電影、電視劇）,3C配件,驚喜,1001-2000元,家電/3C配件/家居用品/運動器材
女,19-30歲,學生,務實,乾淨簡約,美食,美食,展現貼心與細膩,301-500元,家電/3C配件/家居用品/運動器材
女,18歲以下,學生,內向,乾淨簡約,烹飪/烘焙,衣物,創意新奇,301-500元,家電/3C配件/家居用品/運動器材
男,19-30歲,學生,內向,休閒,運動/健身,美食,實用性高,501-1000元,家電/3C配件/家居用品/運動器材
女,19-30歲,學生,樂觀,休閒,電子遊戲,藝文活動票卷(電影/展覽/音樂會/演唱會等),展現貼心與細膩,100-300元,家電/3C配件/家居用品/運動器材
女,19-30歲,學生,幽默,乾淨簡約,運動/健身,3C配件,展現貼心與細膩,100-300元,家電/3C配件/家居用品/運動器材
女,19-30歲,學生,務實,乾淨簡約,旅行,3C配件,實用性高,100-300元,家電/3C配件/家居用品/運動器材
男,19-30歲,科技與工程,務實,乾淨簡約,影音（電影、電視劇）,書籍,實用性高,501-1000元,家電/3C配件/家居用品/運動器材
女,19-30歲,學生,幽默,日系,美食,衣物,療癒的,501-1000元,家電/3C配件/家居用品/運動器材
男,31-40歲,醫療與健康,外向,休閒,旅行,3C配件,驚喜,301-500元,家電/3C配件/家居用品/運動器材
男,31-40歲,醫療與健康,外向,休閒,旅行,3C配件,驚喜,301-500元,家電/3C配件/家居用品/運動器材
女,31-40歲,商業與管理,外向,休閒,旅行,家電,驚喜,2001-5000元,家電/3C配件/家居用品/運動器材
女,31-40歲,學生,體貼,日系,音樂,衣物,療癒的,501-1000元,家電/3C配件/家居用品/運動器材
男,19-30歲,教育,內向,乾淨簡約,旅行,鞋子,實用性高,501-1000元,家電/3C配件/家居用品/運動器材
女,19-30歲,學生,內向,日系,動漫,動漫周邊,實用性高,100-300元,家電/3C配件/家居用品/運動器材
女,19-30歲,學生,體貼,乾淨簡約,影音（電影、電視劇）,美食,驚喜,501-1000元,家電/3C配件/家居用品/運動器材
男,19-30歲,科技與工程,幽默,休閒,影音（電影、電視劇）,家電,實用性高,501-1000元,家電/3C配件/家居用品/運動器材
女,51-64歲,餐飲與旅遊,活潑,乾淨簡約,旅行,衣物,展現貼心與細膩,501-1000元,家電/3C配件/家居用品/運動器材
女,41-50歲,醫療與健康,活潑,活潑可愛,影音（電影、電視劇）,家居用品,創意新奇,501-1000元,家電/3C配件/家居用品/運動器材
男,19-30歲,學生,內向,休閒,動漫,美食,實用性高,5001-10000元,家電/3C配件/家居用品/運動器材
女,18歲以下,學生,樂觀,活潑可愛,影音（電影、電視劇）,衣物,實用性高,100-300元,家電/3C配件/家居用品/運動器材
女,19-30歲,醫療與健康,樂觀,活潑可愛,旅行,美妝保養,展現貼心與細膩,501-1000元,家電/3C配件/家居用品/運動器材
男,19-30歲,學生,務實,復古風,運動/健身,運動器材,實用性高,10000元以上,家電/3C配件/家居用品/運動器材
女,31-40歲,教育,樂觀,活潑可愛,旅行,3C配件,實用性高,501-1000元,家電/3C配件/家居用品/運動器材
女,51-64歲,餐飲與旅遊,理性,乾淨簡約,旅行,衣物,實用性高,501-1000元,家電/3C配件/家居用品/運動器材
女,19-30歲,學生,務實,乾淨簡約,美食,美食,展現貼心與細膩,301-500元,家電/3C配件/家居用品/運動器材
女,31-40歲,醫療與健康,務實,乾淨簡約,影音（電影、電視劇）,衣物,實用性高,1001-2000元,家電/3C配件/家居用品/運動器材
男,19-30歲,學生,理性,休閒,音樂,衣物,展現貼心與細膩,501-1000元,家電/3C配件/家居用品/運動器材
女,19-30歲,學生,理性,優雅知性,美食,美妝保養,展現貼心與細膩,501-1000元,家電/3C配件/家居用品/運動器材
女,19-30歲,學生,文靜,日系,電子遊戲,衣物,實用性高,301-500元,家電/3C配件/家居用品/運動器材
女,19-30歲,學生,文靜,休閒,動漫,電玩/遊戲,創意新奇,301-500元,家電/3C配件/家居用品/運動器材
男,19-30歲,學生,內向,休閒,運動/健身,衣物,實用性高,301-500元,家電/3C配件/家居用品/運動器材
男,18歲以下,學生,幽默,街頭嘻哈,電子遊戲,家電,實用性高,100-300元,家電/3C配件/家居用品/運動器材
男,41-50歲,科技與工程,嚴肅,乾淨簡約,運動/健身,美食,實用性高,301-500元,家電/3C配件/家居用品/運動器材
女,18歲以下,學生,內向,休閒,閱讀,書籍,實用性高,100-300元,文具/文創商品/藝文活動票卷/書籍
男,19-30歲,學生,幽默,休閒,影音（電影、電視劇）,藝文活動票卷(電影/展覽/音樂會/演唱會等),實用性高,100元以下,文具/文創商品/藝文活動票卷/書籍
男,19-30歲,學生,內向,乾淨簡約,追星,明星周邊,展現貼心與細膩,301-500元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,務實,休閒,音樂,美食,驚喜,100-300元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,內向,優雅知性,閱讀,動漫周邊,實用性高,100-300元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,內向,休閒,閱讀,3C配件,實用性高,100-300元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,理性,乾淨簡約,影音（電影、電視劇）,書籍,實用性高,301-500元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,感性,乾淨簡約,動漫,衣物,展現貼心與細膩,501-1000元,文具/文創商品/藝文活動票卷/書籍
男,19-30歲,學生,幽默,日系,閱讀,文具,實用性高,501-1000元,文具/文創商品/藝文活動票卷/書籍
男,31-40歲,科技與工程,務實,休閒,電子遊戲,電玩/遊戲,實用性高,1001-2000元,電玩/遊戲/玩具/明星周邊/動漫周邊
男,19-30歲,學生,內向,乾淨簡約,電子遊戲,鞋子,展現貼心與細膩,501-1000元,電玩/遊戲/玩具/明星周邊/動漫周邊
女,19-30歲,學生,內向,休閒,電子遊戲,美食,實用性高,301-500元,電玩/遊戲/玩具/明星周邊/動漫周邊
男,19-30歲,學生,內向,復古風,電子遊戲,運動器材,展現貼心與細膩,10000元以上,電玩/遊戲/玩具/明星周邊/動漫周邊
男,19-30歲,學生,內向,運動風,運動/健身,運動器材,實用性高,10000元以上,電玩/遊戲/玩具/明星周邊/動漫周邊
女,19-30歲,學生,理性,休閒,旅行,衣物,驚喜,10000元以上,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,活潑,休閒,動漫,藝文活動票卷(電影/展覽/音樂會/演唱會等),實用性高,301-500元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,外向,知性文青,手工/DIY,衣物,驚喜,501-1000元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,內向,知性文青,影音（電影、電視劇）,書籍,展現貼心與細膩,301-500元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,內向,乾淨簡約,旅行,書籍,展現貼心與細膩,501-1000元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,外向,運動風,運動/健身,飾品配件,實用性高,301-500元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,感性,乾淨簡約,閱讀,飾品配件,展現貼心與細膩,301-500元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,內向,乾淨簡約,動漫,衣物,展現貼心與細膩,301-500元,文具/文創商品/藝文活動票卷/書籍
女,18歲以下,學生,內向,休閒,追星,衣物,展現貼心與細膩,100元以下,文具/文創商品/藝文活動票卷/書籍
男,19-30歲,學生,內向,休閒,閱讀,美食,驚喜,301-500元,文具/文創商品/藝文活動票卷/書籍
男,19-30歲,學生,外向,知性文青,音樂,家居用品,驚喜,100-300元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,內向,休閒,閱讀,家居用品,實用性高,501-1000元,文具/文創商品/藝文活動票卷/書籍
其他,19-30歲,學生,樂觀,活潑可愛,旅行,美妝保養,實用性高,501-1000元,文具/文創商品/藝文活動票卷/書籍
女,18歲以下,學生,感性,知性文青,影音（電影、電視劇）,美食,展現貼心與細膩,301-500元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,文靜,乾淨簡約,運動/健身,家居用品,展現貼心與細膩,501-1000元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,感性,休閒,音樂,藝文活動票卷(電影/展覽/音樂會/演唱會等),展現貼心與細膩,501-1000元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,教育,嚴肅,休閒,閱讀,3C配件,實用性高,301-500元,文具/文創商品/藝文活動票卷/書籍